Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected EventsEstimated Bases,Basecalled Bases,Basecalled Samples,
0,1112,946,145,0,5726908,292692,526404,526984,5619195,
1,2626,2269,340,0,13468733,688409,1238086,1264638,13374332,
2,4154,3585,560,0,21295347,1086077,1953280,2011762,21250325,
3,5746,4951,770,0,29352072,1497438,2693093,2774589,29231639,
4,7323,6315,978,0,37411622,1908482,3432328,3542544,37263032,
5,8854,7624,1203,0,45162808,2304903,4145296,4286283,45032738,
6,10522,9068,1430,0,53735236,2743449,4934001,5104513,53604363,
7,12145,10499,1633,0,62434140,3181244,5721379,5924846,62358853,
8,13835,11953,1876,0,71290065,3629765,6528035,6756689,71263339,
9,15491,13389,2089,0,79802660,4065291,7311325,7564374,79736836,
10,17151,14758,2362,0,88579134,4509200,8109699,8378790,88400234,
11,18825,16185,2615,0,97476262,4952538,8907037,9208792,97340562,
12,20527,17625,2877,0,106431060,5401667,9714779,10045173,106292675,
13,22277,19095,3161,0,115678297,5864865,10547828,10909244,115557573,
14,24014,20554,3441,0,124795766,6322138,11370212,11769293,124700167,
15,25744,22010,3711,0,133890353,6780611,12194759,12624234,133766720,
16,27468,23484,3964,0,143067759,7239214,13019566,13481750,142966369,
17,29170,24914,4233,0,152005182,7686450,13823914,14316930,151883294,
18,30933,26401,4520,0,161265556,8151067,14659554,15192849,161208253,
19,32680,27851,4798,0,170541694,8614622,15493241,16046936,170365897,
20,34511,29393,5113,0,180194977,9097586,16361854,16962875,180168480,
21,36299,30861,5402,0,189747136,9574894,17220274,17838813,189565157,
22,38092,32398,5669,0,199328951,10057051,18087450,18737651,199196669,
23,39878,33884,5969,0,208798774,10532015,18941680,19623334,208660833,
24,41676,35408,6245,0,218329597,11010042,19801405,20515842,218205552,
25,43487,36954,6526,0,227972577,11494865,20673350,21425802,227938496,
26,45257,38440,6794,0,237407400,11967754,21523838,22301367,237278887,
27,47029,39944,7060,0,246865120,12443250,22379028,23185766,246726155,
